Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3
Sonora,Soyopa,Fuentes móviles que no circulan por carretera,0.991,13.852,28.232,2.841,2.358,2.287,0.009
Sonora,Soyopa,Fuentes naturales,,,116.468,3062.652,,,
Sonora,Suaqui Grande,Fuentes de área,0.026,7.189,0.491,14.486,2.537,1.101,13.286
Sonora,Suaqui Grande,Fuentes móviles carreteros,0.223,39.974,8.111,3.332,0.497,0.455,0.049
Sonora,Suaqui Grande,Fuentes móviles que no circulan por carretera,0.987,13.813,28.108,2.832,2.35,2.28,0.009
Sonora,Suaqui Grande,Fuentes naturales,,,92.75,2033.685,,,
Sonora,Tepache,Fuentes de área,0.031,9.436,0.517,20.163,7.667,1.997,15.069
Sonora,Tepache,Fuentes móviles carreteros,0.179,36.467,6.596,3.008,0.275,0.251,0.043
Sonora,Tepache,Fuentes móviles que no circulan por carretera,0.984,13.793,28.046,2.827,2.347,2.276,0.009
Sonora,Tepache,Fuentes naturales,,,47.558,1151.577,,,
Sonora,Trincheras,Fuentes de área,0.22,46.13,1.983,24.493,41.657,12.836,28.565
Sonora,Trincheras,Fuentes móviles carreteros,0.254,47.63,9.331,4.048,0.509,0.466,0.059
Sonora,Trincheras,Fuentes móviles que no circulan por carretera,2.062,25.477,141.002,7.107,5.239,4.886,0.009
Sonora,Trincheras,Fuentes naturales,,,78.1,280.279,,,
Sonora,Tubutama,Fuentes de área,0.525,76.38,2.7,15.901,19.018,10.306,22.068
Sonora,Tubutama,Fuentes móviles carreteros,0.204,38.907,7.463,3.234,0.387,0.354,0.047
Sonora,Tubutama,Fuentes móviles que no circulan por carretera,1.02,14.124,29.075,2.906,2.41,2.337,0.009
Sonora,Tubutama,Fuentes naturales,,,53.154,175.179,,,
Sonora,Ures,Fuentes de área,72.436,7965.083,240.053,652.189,853.561,707.405,300.434
Sonora,Ures,Fuentes móviles carreteros,3.105,348.754,107.711,30.974,12.952,11.897,0.5
Sonora,Ures,Fuentes móviles que no circulan por carretera,1.132,15.15,32.263,3.152,2.604,2.526,0.01
